ym,sat_mean,ground_mean,abs_diff,pct_diff
2019_01,49.301659,39.58100688611543,9.720652113884569,24.558880328267907
2019_02,45.464489,38.79939342690265,6.665095573097354,17.178349928728327
2019_03,34.262547,38.94237585677699,-4.679828856776993,-12.017317263817073
2019_04,19.475212,39.30753892903663,-19.832326929036633,-50.45425755308841
2019_05,15.981659999999998,39.32257668668133,-23.340916686681332,-59.3575463598421
2019_06,21.796816,39.22096367569133,-17.42414767569133,-44.425598054569484
2019_07,15.686229,38.92694610588123,-23.240717105881227,-59.70341737742929
2019_08,12.610989,39.44743950249934,-26.836450502499343,-68.0309060383983
2019_09,42.251068,38.77917725914448,3.471890740855514,8.95297679384575
2019_10,26.948433,39.57198962959331,-12.62355662959331,-31.900232330377886
2019_11,44.839237,39.9284467544067,4.910790245593297,12.298976405966302
2019_12,37.634621,39.25717388040902,-1.6225528804090175,-4.133137258815107
2020_01,42.500793,39.653199149074425,2.847593850925577,7.181246184501219
2020_02,44.679897,39.72553654787855,4.954360452121449,12.471475233947533
2020_03,42.125538,39.85219268463605,2.2733453153639473,5.704442245759729
2020_04,10.293925,40.153730637581184,-29.859805637581182,-74.36371456263747
2020_05,15.326366999999998,40.208427994472125,-24.882060994472127,-61.88270030823618
2020_06,13.640491,39.84399204509117,-26.20350104509117,-65.76525016729461
2020_07,12.446667,39.70050002375186,-27.25383302375186,-68.64858882746199
2020_08,14.04035,39.88706608921301,-25.846716089213007,-64.79974243130144
2020_09,21.875217,39.36430837714138,-17.489091377141378,-44.42880390424232
2020_10,35.272961,40.021396275979015,-4.748435275979013,-11.864741657774296
2020_11,36.588322,40.149599264065,-3.561277264065005,-8.87001945061117
2020_12,60.59620300000001,39.73502157715795,20.86118142284206,52.500742656785924
2021_01,66.580231,40.31140455613537,26.268826443864626,65.16475109986344
2021_02,63.45446799999999,40.745764166113226,22.708703833886766,55.732673809496916
2021_03,58.359947,40.5830709545097,17.776876045490297,43.80367386543202
2021_04,34.159771,40.825260126062346,-6.665489126062347,-16.32687484532935
2021_05,24.794058,40.51466901895555,-15.720611018955552,-38.80226939926467
2021_06,13.159513,40.89550796058801,-27.735994960588013,-67.82161744345579
2021_07,16.669743,40.818951702441005,-24.149208702441005,-59.1617562314734
2021_08,27.230415,41.10123841223662,-13.870823412236618,-33.74794519112838
2021_09,19.365875,41.02607614257246,-21.660201142572458,-52.79618033004094
2021_10,34.326836,40.54694773886898,-6.2201117388689795,-15.340517808955264
2021_11,63.97608199999999,40.20056961386914,23.77551238613085,59.14222762139253
2021_12,43.152599,41.46300212837306,1.6895968716269394,4.074950642492795
2022_01,79.554588,41.76139756393199,37.793190436068,90.49790629782179
2022_02,62.079861,41.51409664989128,20.565764350108722,49.539231272572046
2022_03,54.896244,41.2637777715468,13.632466228453204,33.03736827957956
2022_04,26.100452,41.516675200676,-15.416223200675997,-37.13260545590361
2022_05,21.277283,41.4923873561706,-20.215104356170603,-48.72003190041627
2022_06,21.317289,41.78371101612094,-20.46642201612094,-48.981819753215824
2022_07,19.711649,41.66365738360816,-21.95200838360816,-52.688625440369506
2022_08,19.429346,41.835174434108175,-22.405828434108177,-53.557392163855134
2022_09,39.490311,41.87041844474023,-2.380107444740233,-5.684460612404561
2022_10,40.500473,41.11206810987337,-0.6115951098733703,-1.4876291512235822
2022_11,59.534611000000005,41.45723062110236,18.077380378897644,43.60489137375226
2022_12,69.384254,41.87060244888378,27.51365155111622,65.7111432411446
2023_01,55.633568,42.12090702108163,13.512660978918369,32.08065052387226
2023_02,39.329071,41.73819467476028,-2.4091236747602807,-5.771988207762887
2023_03,54.665241,42.46171210216044,12.203528897839561,28.74007733950664
2023_04,26.606606,42.510791016284976,-15.904185016284977,-37.41211263321923
2023_05,32.70142,42.37318110331263,-9.671761103312633,-22.825194737518817
2023_06,24.528172,42.36379151810039,-17.83561951810039,-42.101093596591625
2023_07,17.216888,42.15789669873499,-24.941008698734986,-59.16094172573695
2023_08,24.033073,42.0398241142351,-18.0067511142351,-42.83260335558311
2023_09,27.11051,42.477094153838806,-15.366584153838804,-36.17616614306483
2023_10,27.995611,42.21759659290837,-14.221985592908371,-33.68734068413869
2023_11,38.810654,42.126889686110495,-3.3162356861104954,-7.872016450347815
2023_12,46.453934,42.30068998318525,4.153244016814746,9.818383620847987
2024_01,43.460712,42.94959853744626,0.5111134625537375,1.1900308267331425
2024_02,34.605583,42.83884567005309,-8.233262670053087,-19.21915154639339
2024_03,32.734577,42.52003085600725,-9.785453856007251,-23.013750599441902
2024_04,16.997797,43.10272995875541,-26.104932958755413,-60.564453768322736
2024_05,21.85136,43.0802939270694,-21.2289339270694,-49.27759769468576
2024_06,15.47269,43.42921738224671,-27.956527382246712,-64.37262531393202
2024_07,12.045365,43.1217049261918,-31.076339926191803,-72.06658451789615
2024_08,12.456731,43.26918532416663,-30.81245432416663,-71.21108034118062
2024_09,19.320829,42.76788650928398,-23.447057509283983,-54.82397991351322
2024_10,46.929859,42.85182993788837,4.078029062111632,9.516580897531181
2024_11,36.855427,42.9186082077311,-6.063181207731098,-14.127161762526386
2024_12,45.23838,43.56337089045325,1.6750091095467496,3.844994258499453
